职位名称,城市,min_salary,max_salary,avg_salary,经验要求,学历要求,技能标签
Trade Operation Specialist-Python,上海·浦东新区,8.0,16.0,12.0,无需经验,,
数据挖掘,上海,10.0,15.0,12.5,无需经验,,
Java工程师,深圳·宝安区,7.0,10.0,8.5,1年及以上,大专,
Embedded Machine Learning Engineer,北京,21.0,23.0,22.0,在校生/应届生,本科,
Python 软件测试  双休,成都·锦江区,6.0,12.0,9.0,无需经验,大专,
Java Intern,广州·海珠区,180.0,180.0,180.0,在校生/应届生,本科,
python工程师,苏州·虎丘区,7.0,11.0,9.0,无需经验,本科,
Python测试工程师,上海·浦东新区,10.0,18.0,14.0,1-6年,本科,
Java初级工程师(22-24届优先),深圳·福田区,8.0,12.0,10.0,1年及以上,本科,
大数据etl工程师实习生,深圳·宝安区,6.0,11.0,8.5,无需经验,大专,
python工程师,合肥·包河区,7.0,11.0,9.0,无需经验,本科,
数据分析师,成都·锦江区,8.0,12.0,10.0,1年及以上,大专,
初级数据分析师,上海·静安区,8.0,13.0,10.5,无需经验,本科,
数据分析师,武汉·洪山区,9.0,12.0,10.5,1年及以上,大专,
Python 开发工程师,深圳·福田区,8.0,13.0,10.5,无需经验,大专,
Python,成都,10.0,15.0,12.5,无需经验,本科,
Python工程师,扬州·邗江区,8.0,15.0,11.5,1年及以上,本科,
python工程师,北京·海淀区,7.0,11.0,9.0,无需经验,本科,
python开发工程师,沈阳·沈河区,8.0,13.0,10.5,无需经验,大专,
数据采集实习生,合肥·包河区,3.0,3.0,3.0,在校生/应届生,本科,
python 软件开发工程师,苏州·相城区,10.0,15.0,12.5,1年及以上,大专,
数据库工程师（双休）,杭州·拱墅区,9.0,12.0,10.5,1年及以上,大专,
Python 开发工程师,广州·越秀区,8.0,13.0,10.5,无需经验,大专,
Python数据工程师（爬虫方向）,青岛·高新区,6.0,10.0,8.0,1年及以上,本科,
python工程师,深圳·南山区,7.0,11.0,9.0,无需经验,本科,
python程序员,北京·海淀区,6.0,12.0,9.0,1年及以上,大专,
Python 开发工程师,苏州·姑苏区,8.0,13.0,10.5,无需经验,大专,
HTML5,苏州·相城区,9.0,12.0,10.5,无需经验,大专,
python工程师,广州·天河区,7.0,11.0,9.0,无需经验,本科,
Python数据工程师（爬虫方向）,青岛·高新区,6.0,10.0,8.0,1年及以上,本科,
java开发工程师,南京·浦口区,9.0,13.0,11.0,无需经验,大专,
python 开发工程师,南京·建邺区,9.0,14.0,11.5,1-3年,本科,
数据分析专员（大厂 双休）,深圳·福田区,8.0,12.0,10.0,1年及以上,大专,
python工程师,长沙·岳麓区,7.0,11.0,9.0,无需经验,本科,
java开发工程师,杭州·拱墅区,9.0,13.0,11.0,无需经验,大专,
python工程师,成都·锦江区,7.0,10.0,8.5,无需经验,本科,
python工程师,上海,12.0,16.0,14.0,1年,大专,
IT实习生,上海·浦东新区,120.0,120.0,120.0,在校生/应届生,本科,
java开发工程师,苏州·吴中区,9.0,13.0,11.0,无需经验,大专,
Python开发工程师,上海·闵行区,15.0,20.0,17.5,无需经验,本科,
数据分析,重庆,10.0,15.0,12.5,1年,大专,
大数据开发助理/可实习,贵阳·南明区,50.0,8.0,29.0,无需经验,大专,
java开发工程师,西安·碑林区,9.0,13.0,11.0,无需经验,大专,
python开发,成都,10.0,15.0,12.5,无需经验,大专,
Python量化研究员,上海·静安区,10.0,15.0,12.5,1年,本科,
AI运维工程师,深圳·福田区,8.0,11.0,9.5,无需经验,本科,
java开发工程师,上海·浦东新区,9.0,13.0,11.0,无需经验,大专,
Java开发工程师,西安·曲江新区,12.0,15.0,13.5,无需经验,本科,
IT实习生,嘉兴·嘉善县,120.0,120.0,120.0,在校生/应届生,本科,
银行数据分析/双休,深圳·福田区,8.0,10.0,9.0,1年及以上,本科,
java开发工程师,合肥·蜀山区,9.0,13.0,11.0,无需经验,大专,
Java开发工程师,广州·天河区,12.0,15.0,13.5,无需经验,本科,
Java/Python开发（实习）,广州·天河区,1000.0,1000.0,1000.0,在校生/应届生,本科,
软件开发工程师（C++、C#、Python）,济南,10.0,20.0,15.0,无需经验,本科,
java开发工程师,武汉·江夏区,9.0,13.0,11.0,无需经验,大专,
python工程师,郑州·中原区,7.0,11.0,9.0,无需经验,本科,
Python开发工程师（实习）,广州·番禺区,30.0,4.0,17.0,在校生/应届生,大专,
软件开发工程师,武汉,50.0,8.0,29.0,无需经验,本科,
java开发工程师,沈阳,10.0,15.0,12.5,无需经验,大专,
大数据分析岗,长沙,7.0,14.0,10.5,无需经验,大专,
Java开发工程师,深圳·南山区,12.0,15.0,13.5,无需经验,本科,
python工程师,南京·雨花台区,7.0,11.0,9.0,无需经验,本科,
python实习,广州·番禺区,30.0,4.0,17.0,无需经验,大专,
算法标注师,北京·海淀区,10.0,15.0,12.5,1年及以上,本科,
Java开发工程师,北京·朝阳区,12.0,15.0,13.5,无需经验,本科,
python工程师,重庆·南岸区,7.0,11.0,9.0,无需经验,本科,
Java开发工程师,杭州·上城区,60.0,9.0,34.5,1年及以上,本科,
BI大数据实习生（双休）,武汉·洪山区,60.0,9.0,34.5,无需经验,大专,
Java开发,福州·鼓楼区,9.0,13.0,11.0,无需经验,本科,
python工程师,成都·青羊区,7.0,11.0,9.0,无需经验,本科,
Java开发工程师,长沙,12.0,24.0,18.0,无需经验,本科,
数据分析助理,重庆·沙坪坝区,40.0,6.0,23.0,在校生/应届生,大专,
python开发,广州,10.0,12.0,11.0,无需经验,大专,
Java开发工程师,深圳,12.0,15.0,13.5,无需经验,本科,
Python 开发工程师,珠海·香洲区,8.0,13.0,10.5,无需经验,大专,
Python 开发工程师,武汉·洪山区,9.0,11.0,10.0,1-3年,本科,
java开发工程师,昆明,10.0,15.0,12.5,无需经验,大专,
Java开发工程师,广州,12.0,15.0,13.5,无需经验,本科,
Python 开发工程师,宁波·鄞州区,8.0,13.0,10.5,无需经验,大专,
Java开发工程师,广州·海珠区,80.0,9.0,44.5,1年,大专,
python开发,上海·杨浦区,10.0,12.0,11.0,无需经验,大专,
Java开发工程师,杭州,8.0,16.0,12.0,无需经验,本科,
Python 开发工程师,杭州·萧山区,8.0,13.0,10.5,无需经验,大专,
python工程师,杭州·上城区,7.0,11.0,9.0,无需经验,本科,
Java开发工程师,贵阳·观山湖区,7.0,10.0,8.5,1年及以上,本科,
功能检测有人带（提供住宿）,深圳·福田区,50.0,9.0,29.5,无需经验,大专,
Python工程师,珠海·香洲区,50.0,9.0,29.5,1-3年,本科,
AI软件测试实习生（双休）,昆明·盘龙区,58.0,8.5,33.25,无需经验,大专,
python开发,杭州,10.0,12.0,11.0,无需经验,大专,
数据分析师,上海,7.0,12.0,9.5,1-2年,大专,
java开发工程师,东莞,10.0,15.0,12.5,无需经验,本科,
Java开发工程师,北京·海淀区,8.0,12.0,10.0,1年及以上,本科,
python自动化检测,深圳·福田区,60.0,9.0,34.5,无需经验,大专,
Python开发工程师,青岛·李沧区,50.0,8.0,29.0,无需经验,大专,
java开发工程师,兰州,10.0,12.0,11.0,无需经验,大专,
Python开发（AI方向）,郑州·管城回族区,60.0,8.0,34.0,无需经验,,
